node6  | [entrypoint] Starting ADVERSARY node node6
node6  | 09:45:31 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent forged PRE-PREPARE to node4 seq=18
node6  | 09:45:32 [node6[ADVERSARY]] WARNING [ADVERSARY] Equivocating PREPARE for seq=19
node6  | 09:45:32 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=19 digest=3979d6d7… to node1
node6  | 09:45:32 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=19 digest=3979d6d7… to node2
node6  | 09:45:32 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=19 digest=deadbeef… to node3
node6  | 09:45:32 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=19 digest=deadbeef… to node4
node6  | 09:45:32 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=19 digest=deadbeef… to node5
node6  | 09:45:32 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent forged PRE-PREPARE to node2 seq=19
node6  | 09:45:33 [node6[ADVERSARY]] WARNING [ADVERSARY] Equivocating PREPARE for seq=20
node6  | 09:45:33 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=20 digest=69d49aea… to node1
node6  | 09:45:33 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=20 digest=69d49aea… to node2
node6  | 09:45:33 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=20 digest=deadbeef… to node3
node6  | 09:45:33 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=20 digest=deadbeef… to node4
node6  | 09:45:33 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent PREPARE seq=20 digest=deadbeef… to node5
node6  | 09:45:33 [node6[ADVERSARY]] WARNING [ADVERSARY] Sent forged PRE-PREPARE to node5 seq=20
